NAME,HEIGHT,WEIGHT,REACH,STANCE,DOB,SLpM,StrAcc,SApM,StrDef,TDAvg,TDAcc,TDDef,SubAvg
Romie Aram,1.778,170.0,72.0,Orthodox,1977.0,1.8,35.0,2.83,50.0,2.5,62.0,83.0,0.0
Shinya Aoki,1.8034,154.0,72.0,Southpaw,1983.0,0.97,58.0,1.25,58.0,2.54,41.0,60.0,4.0
Julio Arce,1.7018,145.0,70.0,Southpaw,1989.0,4.25,36.0,2.87,67.0,0.58,30.0,93.0,0.6
Igor Araujo,1.8542,170.0,77.0,Orthodox,1980.0,1.52,42.0,2.86,49.0,0.86,15.0,22.0,0.6
Viviane Araujo,1.6256,125.0,68.0,Orthodox,1986.0,4.77,50.0,5.32,56.0,1.88,53.0,92.0,0.0
Felipe Arantes,1.7271999999999998,135.0,73.0,Orthodox,1988.0,2.37,45.0,2.66,64.0,0.93,47.0,41.0,0.7
Art Arciniega,1.7271999999999998,145.0,72.0,Orthodox,1981.0,1.53,46.0,2.73,51.0,0.0,0.0,50.0,1.0
Austin Arnett,1.8288,145.0,72.0,Orthodox,1991.0,4.52,41.0,6.38,62.0,0.44,18.0,57.0,0.2
Chalid Arrab,1.8034,205.0,72.0,Orthodox,1975.0,1.56,34.0,1.63,56.0,3.05,75.0,37.0,1.0
Antonio Arroyo,1.905,185.0,73.0,Orthodox,1989.0,3.08,70.0,1.72,44.0,1.4,41.0,32.0,0.3
Ricardo Arona,1.8034,205.0,72.0,Orthodox,1978.0,1.66,48.0,1.15,57.0,2.41,48.0,58.0,1.2
Akbarh Arreola,1.778,155.0,71.0,Southpaw,1983.0,2.32,45.0,4.01,56.0,1.07,100.0,33.0,0.4
Andrei Arlovski,1.905,240.0,77.0,Orthodox,1979.0,3.48,44.0,2.77,58.0,0.48,36.0,79.0,0.3
Matt Arroyo,1.778,170.0,72.0,Orthodox,1982.0,1.62,47.0,2.01,58.0,2.12,36.0,100.0,5.3
Cyril Asker,1.8288,247.0,74.0,Orthodox,1985.0,3.35,39.0,5.82,35.0,4.41,62.0,100.0,0.9
Teddy Ash,1.8542,185.0,73.0,Switch,1989.0,7.27,61.0,6.8,28.0,0.0,0.0,100.0,0.0
Cesar Arzamendia,1.8034,155.0,72.0,Orthodox,1991.0,5.37,45.0,5.2,56.0,7.32,75.0,0.0,2.4
Askar Askarov,1.6764,125.0,67.0,Orthodox,1992.0,3.2,52.0,2.51,55.0,2.0,18.0,64.0,0.0
Raphael Assuncao,1.651,135.0,66.0,Orthodox,1982.0,3.26,40.0,2.33,68.0,1.48,38.0,80.0,0.3
Scott Askham,1.905,185.0,75.0,Southpaw,1988.0,3.03,46.0,3.52,52.0,0.44,18.0,65.0,0.7
Bruno Assis,1.8796,185.0,72.0,Orthodox,1992.0,1.27,43.0,3.2,36.0,2.0,50.0,66.0,1.0
Ben Askren,1.8034,170.0,73.0,Orthodox,1984.0,3.64,49.0,5.66,36.0,4.33,55.0,0.0,0.9
Tom Aspinall,1.9558,256.0,78.0,Orthodox,1993.0,11.14,74.0,2.57,71.0,6.43,100.0,0.0,0.0
Junior Assuncao,1.7526,145.0,72.0,Orthodox,1981.0,3.31,62.0,2.06,44.0,2.43,24.0,66.0,0.7
Bazigit Atajev,1.8542,230.0,72.0,Orthodox,1984.0,0.87,41.0,3.14,49.0,1.0,33.0,0.0,0.0
Olivier Aubin-Mercier,1.7526,155.0,70.0,Southpaw,1989.0,2.48,51.0,2.97,55.0,2.36,33.0,70.0,0.5
Pat Audinwood,1.8288,155.0,72.0,Orthodox,1986.0,1.17,12.0,4.31,41.0,0.8,50.0,0.0,0.0
Rich Attonito,1.778,170.0,72.0,Orthodox,1977.0,2.28,47.0,2.13,59.0,0.74,37.0,75.0,0.0
Marcus Aurelio,1.778,155.0,74.0,Orthodox,1973.0,1.42,33.0,2.27,59.0,1.69,27.0,27.0,1.3
Julia Avila,1.7018,135.0,68.0,Orthodox,1988.0,3.1,41.0,2.9,54.0,0.49,50.0,60.0,0.0
Blas Avena,1.8288,170.0,74.0,Orthodox,1983.0,2.34,47.0,3.36,43.0,2.37,80.0,50.0,1.8
Chris Avila,1.778,145.0,72.0,Orthodox,1993.0,2.37,30.0,4.17,48.0,0.0,0.0,46.0,0.0
Abu Azaitar,1.7526,185.0,76.0,Orthodox,1986.0,3.2,37.0,1.27,57.0,1.0,100.0,25.0,0.0
Jessin Ayari,1.8288,155.0,73.0,Orthodox,1992.0,3.53,37.0,3.59,58.0,0.0,0.0,50.0,0.3
Saad Awad,1.8034,155.0,72.0,Orthodox,1983.0,2.13,26.0,1.87,60.0,0.5,16.0,100.0,0.5
Ottman Azaitar,1.7271999999999998,155.0,71.0,Switch,1990.0,8.43,57.0,1.76,67.0,0.0,0.0,100.0,0.0
Hunter Azure,1.7271999999999998,145.0,69.0,Orthodox,1992.0,4.17,52.0,1.99,62.0,2.52,45.0,76.0,1.4
Seth Baczynski,1.905,170.0,75.0,Orthodox,1981.0,3.08,31.0,3.14,51.0,0.89,16.0,48.0,0.8
Niklas Backstrom,1.8542,145.0,72.0,Orthodox,1989.0,1.12,41.0,3.65,40.0,2.92,80.0,72.0,2.2
Luiz Azeredo,1.7526,154.0,72.0,Orthodox,1976.0,2.16,39.0,2.76,57.0,1.07,50.0,45.0,0.3
Luciano Azevedo,1.905,161.0,72.0,Orthodox,1981.0,0.76,45.0,1.97,27.0,2.28,11.0,0.0,0.0
Ryan Bader,1.8796,205.0,74.0,Orthodox,1983.0,2.82,43.0,1.39,71.0,3.37,44.0,80.0,0.4
Miguel Baeza,1.8796,170.0,74.0,Orthodox,1992.0,4.64,55.0,3.89,50.0,0.8,40.0,100.0,1.2
Ali Bagautinov,1.6256,125.0,65.0,Orthodox,1985.0,2.85,42.0,3.09,52.0,2.51,36.0,65.0,0.3
Izabela Badurek,1.651,115.0,72.0,Orthodox,1991.0,3.74,71.0,4.9,32.0,1.75,12.0,100.0,0.0
Ignacio Bahamondes,1.905,170.0,75.0,Orthodox,1997.0,8.78,54.0,2.66,67.0,0.0,0.0,100.0,0.0
