Name,HEIGHT,WEIGHT,REACH,STANCE,DOB,SLpM,Str. Acc..,SApM,Str. Def,TD Avg,TD Acc,TD Def.,Sub. Avg
Levi Avera,1.8541999999999998,170 ,,, 1982,0.0,0,0.0,0,0.0,0,0,0.0
Julia Avila,1.7018,135 ,68,Orthodox, 1988,3.1,41,2.9,54,0.49,50,60,0.0
Blas Avena,1.8288,170 ,74,Orthodox, 1983,2.34,47,3.36,43,2.37,80,50,1.8
Chris Avila,1.778,145 ,,Orthodox, 1993,2.37,30,4.17,48,0.0,0,46,0.0
Anthony Avila,1.7018,145 ,,, 1988,0.0,0,0.0,0,0.0,0,0,0.0
Abu Azaitar,1.7526,185 ,76,Orthodox, 1986,3.2,37,1.27,57,1.0,100,25,0.0
Jessin Ayari,1.8288,155 ,73,Orthodox, 1992,3.53,37,3.59,58,0.0,0,50,0.3
Saad Awad,1.8034,155 ,,, 1983,2.13,26,1.87,60,0.5,16,100,0.5
Javy Ayala,1.8541999999999998,265 ,,, 1988,0.83,25,5.0,33,0.0,0,0,0.0
Ottman Azaitar,1.7271999999999998,155 ,71,Switch, 1990,8.43,57,1.76,67,0.0,0,100,0.0
Hunter Azure,1.7271999999999998,145 ,69,Orthodox, 1992,4.17,52,1.99,62,2.52,45,76,1.4
Seth Baczynski,1.905,170 ,75,Orthodox, 1981,3.08,31,3.14,51,0.89,16,48,0.8
Niklas Backstrom,1.8541999999999998,145 ,,Orthodox, 1989,1.12,41,3.65,40,2.92,80,72,2.2
Luiz Azeredo,1.7526,154 ,,Orthodox, 1976,2.16,39,2.76,57,1.07,50,45,0.3
Luciano Azevedo,1.905,161 ,,Orthodox, 1981,0.76,45,1.97,27,2.28,11,0,0.0
Ryan Bader,1.8796,205 ,74,Orthodox, 1983,2.82,43,1.39,71,3.37,44,80,0.4
Miguel Baeza,1.8796,170 ,74,Orthodox, 1992,4.64,55,3.89,50,0.8,40,100,1.2
Ali Bagautinov,1.6256,125 ,65,Orthodox, 1985,2.85,42,3.09,52,2.51,36,65,0.3
Izabela Badurek,1.651,115 ,,Orthodox, 1991,3.74,71,4.9,32,1.75,12,100,0.0
Ignacio Bahamondes,1.905,170 ,75,Orthodox, 1997,8.78,54,2.66,67,0.0,0,100,0.0
Mehdi Baghdad,1.8541999999999998,155 ,,Orthodox, 1985,3.13,30,4.56,46,0.0,0,33,0.0
Melsik Baghdasaryan,1.7526,145 ,70,Southpaw, 1992,6.8,64,3.8,53,0.0,0,75,0.0
Siyar Bahadurzada,1.8034,170 ,73,Orthodox, 1984,2.91,40,3.23,49,1.32,61,62,0.3
Jordan Bailey,1.7526,145 ,,,,1.74,40,0.29,0,4.35,100,0,4.3
Shamar Bailey,1.7526,155 ,75,Southpaw, 1982,1.56,20,3.91,69,1.5,33,37,0.0
Bryan Baker,1.905,185 ,,Orthodox, 1985,1.78,52,2.83,45,0.44,50,37,0.9
Scott Baker,1.8288,210 ,,,,0.0,0,0.0,0,0.0,0,0,0.0
Oluwale Bamgbose,1.8034,185 ,78,Switch, 1987,2.45,48,2.7,55,0.94,33,37,0.0
Stephen Banaszak,1.8288,145 ,,, 1990,4.2,47,1.15,66,0.0,0,100,1.9
Humberto Bandenay,1.8034,145 ,71,Southpaw, 1994,2.22,41,4.79,41,2.9,46,62,0.5
Yohan Banks,,,,,,0.0,0,0.0,0,0.0,0,0,0.0
Tae Hyun Bang,1.7526,155 ,71,Switch, 1983,2.72,38,2.07,66,0.49,33,57,0.5
Marcin Bandel,1.778,155 ,,Orthodox, 1989,0.79,50,5.26,23,0.0,0,0,0.0
Renan Barao,1.6764,145 ,70,Orthodox, 1987,3.78,36,3.9,57,1.49,41,91,0.5
Antonio Banuelos,1.651,135 ,63,Orthodox, 1979,2.69,33,3.15,58,1.62,62,86,0.4
Maycee Barber,1.651,125 ,65,Switch, 1998,6.02,60,3.15,49,0.95,30,80,0.3
Bryan Barberena,1.8288,170 ,72,Southpaw, 1989,5.48,48,4.7,45,0.23,28,60,0.5
Junior Barata,1.778,170 ,,Orthodox, 1982,4.03,33,8.46,34,0.0,0,0,0.0
James Barnes,1.7271999999999998,145 ,,,,0.0,0,0.0,0,0.0,0,0,0.0
Raoni Barcelos,1.7018,135 ,67,Orthodox, 1987,5.59,52,4.17,67,2.23,56,85,0.7
Luke Barnatt,1.9811999999999999,185 ,77,Orthodox, 1988,4.43,36,3.87,59,0.63,42,63,0.4
Chris Barnhizer,,,,,,0.0,0,0.0,0,0.0,0,0,0.0
Edson Barboza,1.8034,145 ,75,Orthodox, 1986,3.98,43,4.03,60,0.44,44,78,0.1
Nick Barnes,1.8034,170 ,,,,2.86,29,8.93,51,5.36,100,100,5.4
David Baron,1.6764,155 ,,Switch, 1973,1.17,30,2.1,56,0.0,0,14,0.7
Dan Barrera,1.7526,170 ,,Orthodox, 1980,0.8,70,1.2,28,1.0,8,0,0.0
Phil Baroni,1.7526,170 ,72,Orthodox, 1976,2.77,45,3.93,40,1.46,47,60,0.5
Josh Barnett,1.905,250 ,78,Orthodox, 1977,3.2,50,2.11,57,1.26,55,55,1.4
Jose Barreto,,185 ,,Southpaw,,0.0,0,0.0,0,0.0,0,0,0.0
Carlos Barreto,1.9304,230 ,,Orthodox,,0.0,0,0.0,0,0.0,0,0,0.0
Peter Barrett,1.778,145 ,73,Southpaw, 1986,4.18,61,4.32,42,1.39,22,66,0.0
Marc-Andre Barriault,1.8541999999999998,185 ,74,Orthodox, 1990,4.25,46,4.12,57,0.55,28,69,0.0
Francimar Barroso,1.8541999999999998,205 ,75,Orthodox, 1980,2.77,52,3.07,59,2.22,24,83,0.0
Enrique Barzola,1.7018,145 ,70,Orthodox, 1989,3.91,41,2.97,68,4.2,45,66,0.3
David Barrios,1.6764,145 ,,,,0.0,0,0.0,0,0.0,0,0,0.0
Ricardo Barros,1.8541999999999998,205 ,,, 1976,0.0,0,8.22,31,0.0,0,100,0.0
Dean Barry,,155 ,,, 1992,0.0,0,0.0,0,0.0,0,0,0.0
Pat Barry,1.8034,235 ,74,Orthodox, 1979,2.72,52,3.54,59,0.0,0,76,0.2
Alexandre Barros,1.7526,170 ,,Southpaw, 1976,0.98,40,4.05,36,1.84,50,100,0.0
Stephen Bass,1.7526,145 ,,Orthodox, 1982,4.87,52,5.87,55,0.0,0,0,0.0
Sean Bassett,,155 ,,,,0.0,0,0.0,0,0.0,0,0,0.0
Ryan Bastianelli,1.651,135 ,,,,0.0,0,0.0,0,0.0,0,0,0.0
Alan Baudot,1.905,243 ,79,Orthodox, 1988,1.89,25,10.11,36,0.0,0,0,0.0
Rudy Bears,1.8034,170 ,,Southpaw,,1.27,29,2.53,50,0.0,0,0,0.0
Salvador Becerra,1.7526,155 ,,,,4.57,31,3.83,58,0.0,0,66,0.0
Mario Bautista,1.7526,135 ,69,Switch, 1993,6.19,45,4.96,58,0.6,33,57,0.0
Ariel Beck,1.6764,125 ,66,Southpaw, 1990,4.44,34,4.31,64,0.0,0,0,0.0
Michel Batista,1.905,260 ,,Orthodox, 1984,0.0,0,4.03,40,6.72,50,0,0.0
Eric Bedard,1.8796,239 ,,, 1984,6.37,35,8.54,52,0.0,0,0,0.0
Jeff Bedard,1.6764,145 ,,Orthodox, 1970,0.8,51,0.0,100,3.43,66,100,2.6
Shayna Baszler,1.7018,135 ,,Orthodox, 1980,2.49,30,6.36,51,0.67,18,44,1.3
Batgerel Danaa,1.7018,135 ,70,Orthodox, 1989,5.66,38,2.61,58,0.0,0,57,0.0
Chris Beal,1.7018,125 ,69,Orthodox, 1985,3.45,35,3.18,61,1.6,58,78,0.2
Chase Beebe,1.7018,135 ,67,Orthodox, 1985,2.17,38,1.64,69,2.49,42,41,0.9
Alan Belcher,1.8796,185 ,75,Orthodox, 1984,2.7,41,3.1,59,0.44,26,55,0.9
Diana Belbita,1.7018,125 ,68,Orthodox, 1996,5.81,39,6.49,52,1.69,66,64,0.0
Johnny Bedford,1.778,135 ,71,Orthodox, 1983,4.53,50,1.75,63,1.83,62,62,0.0
Lyle Beerbohm,1.778,155 ,,Southpaw, 1979,1.98,55,1.61,54,2.1,23,64,0.3
Joey Beltran,1.8541999999999998,185 ,75,Orthodox, 1981,4.92,36,5.27,54,0.48,18,75,0.0
Danilo Belluardo,1.8288,155 ,74,Southpaw, 1994,1.52,61,4.79,41,3.5,100,50,0.0
Vitor Belfort,1.8288,185 ,74,Southpaw, 1977,1.59,46,2.83,50,1.02,60,53,0.6
Mirsad Bektic,1.7271999999999998,145 ,70,Orthodox, 1991,2.43,41,1.8,57,3.98,52,92,0.4
Joseph Benavidez,1.6256,125 ,65,Southpaw, 1984,3.54,34,2.62,62,1.48,30,65,0.6
Mike Bencic,1.8288,215 ,,Orthodox,,0.0,0,3.32,53,0.0,0,0,0.0
Marco Beltran,1.7271999999999998,125 ,69,Orthodox, 1986,2.07,37,1.93,63,0.7,50,46,0.2
Gabriel Benitez,1.7271999999999998,155 ,71,Southpaw, 1988,4.38,38,3.26,70,0.17,50,56,1.2
Karla Benitez,1.6001999999999998,113 ,,,,0.0,0,2.4,57,0.0,0,100,0.0
Dave Beneteau,1.8796,250 ,,Orthodox,,0.0,0,0.0,0,0.0,0,0,0.0
DeAnna Bennett,1.6256,125 ,68,Orthodox, 1984,3.13,58,3.27,58,0.0,0,0,1.0
Lance Benoist,1.8034,170 ,72,Southpaw, 1988,3.68,51,2.7,56,1.5,33,61,0.0
Charles Bennett,1.7271999999999998,155 ,,Orthodox, 1979,1.39,39,1.35,64,2.02,100,36,2.0
Josh Bennett,1.9304,259 ,,Orthodox,,2.9,40,5.8,43,1.5,100,100,0.0
Joe Benoit,1.7526,170 ,,Orthodox, 1982,0.0,0,0.0,100,0.0,0,0,0.0
Ryan Benoit,1.651,125 ,68,Orthodox, 1989,2.95,41,3.4,60,0.33,25,70,0.5
